[[28. 28. 28. 28. 28.]],[28.045137 28.052832 28.05248  28.049948 28.050636]
[[28. 28. 28. 28. 28.]],[27.996374 28.001278 27.995075 27.985516 27.980307]
[[28. 28. 28. 28. 28.]],[27.983358 27.986008 27.977861 27.966177 27.959932]
[[28. 28. 28. 28. 28.]],[27.973577 27.975166 27.96671  27.955585 27.95076 ]
[[28. 28. 28. 28. 28.]],[27.972063 27.974682 27.968147 27.959846 27.957064]
[[28. 28. 28. 28. 28.]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[28.     28.     28.     28.     27.9375]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[28.     28.     28.     27.9375 28.    ]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[28.     28.     27.9375 28.     27.9375]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[28.     27.9375 28.     27.9375 27.9375]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[27.9375 28.     27.9375 27.9375 27.9375]],[27.983274 27.991901 27.990984 27.988316 27.989538]
[[28.     27.9375 27.9375 27.9375 27.9375]],[27.93554  27.941847 27.935566 27.926582 27.92244 ]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.96431  27.966316 27.960361 27.95236  27.949278]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.9258   27.931065 27.924452 27.916021 27.913296]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.92088  27.92597  27.919659 27.911348 27.908224]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.91798  27.92261  27.91658  27.908447 27.905428]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.911257 27.915298 27.908665 27.900902 27.8992  ]
[[27.9375 27.9375 27.9375 27.9375 27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.9375 27.875  27.9375]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.875  27.9375 27.9375]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.875  27.9375 27.9375 27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.875  27.9375 27.9375 27.875  27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.875  27.875  27.875 ]],[27.874804 27.882559 27.876177 27.867758 27.864689]
[[27.9375 27.875  27.875  27.875  27.9375]],[27.903408 27.906824 27.900784 27.893318 27.891329]
[[27.875  27.875  27.875  27.9375 27.9375]],[27.916319 27.92842  27.929588 27.930845 27.937374]
[[27.875  27.875  27.9375 27.9375 27.9375]],[27.87543  27.886349 27.883228 27.878874 27.87933 ]
[[27.875  27.9375 27.9375 27.9375 27.9375]],[27.866823 27.873947 27.868135 27.859995 27.856632]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.852451 27.856913 27.848309 27.83831  27.835657]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.904797 27.91864  27.92217  27.92644  27.936628]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.950521 27.993359 28.021534 28.050701 28.08449 ]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.957258 27.99834  28.024338 28.050907 28.080841]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.940388 27.963585 27.974216 27.98412  27.997213]
[[27.9375 27.9375 27.9375 27.9375 27.9375]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.9375 27.9375 27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.9375 27.875  27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.9375 27.875  27.875  27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.9375 27.875  27.875  27.875  27.875 ]],[27.92139  27.931175 27.929829 27.927061 27.929008]
[[27.875 27.875 27.875 27.875 27.875]],[27.92139  27.931175 27.929829 27.927061 27.929008]
